state_name,state_abbr,region,area_sqmi,population_2017
Acre,AC,North,"58,912","829,619"
Alagoas,AL,Northeast,"10,721","3,375,823"
Amapá,AP,North,"55,151","797,722"
Amazonas,AM,North,"606,470","4,063,614"
Bahia,BA,Northeast,"218,030","15,344,447"
Ceará,CE,Northeast,"57,462","9,020,460"
Distrito Federal,DF,Center West,"2,249.90","3,039,444"
Espírito Santo,ES,Southeast,"17,791","4,016,356"
Goiás,GO,Center West,"131,310","6,778,772"
Maranhão,MA,Northeast,"128,180","7,000,229"
Mato Grosso,MT,Center West,"348,790","3,344,544"
Mato Grosso do Sul,MS,Center West,"137,890","2,713,147"
Minas Gerais,MG,Southeast,"226,460","21,119,536"
Pará,PA,North,"481,740","8,366,628"
Paraíba,PB,Northeast,"21,792","4,025,558"
Paraná,PR,South,"76,956","11,320,892"
Pernambuco,PE,Northeast,"37,958","9,473,266"
Piauí,PI,Northeast,"97,726","3,219,257"
Rio de Janeiro,RJ,Southeast,"16,871","16,718,956"
Rio Grande do Norte,RN,Northeast,"20,385","3,507,003"
Rio Grande do Sul,RS,South,"108,780","11,322,895"
Rondônia,RO,North,"91,729","1,805,788"
Roraima,RR,North,"86,602","522,636"
Santa Catarina,SC,South,"36,813","7,001,161"
São Paulo,SP,Southeast,"95,834","45,094,866"
Sergipe,SE,Northeast,"8,459.60","2,288,116"
Tocantins,TO,North,"107,190","1,550,194"
